step,potential_energy,temperature
112000,-2650.600000000007,1.1552003999999998
113000,-2592.600000000003,1.1548003999999998
114000,-2708.600000000008,1.1544003999999999
115000,-2743.4000000000055,1.1540004
116000,-2656.4000000000037,1.1536004
117000,-2731.800000000009,1.1532003999999998
118000,-2714.4000000000037,1.1528003999999998
119000,-2656.400000000004,1.1524004
120000,-2598.4000000000015,1.1520004
121000,-2650.600000000005,1.1516004
122000,-2586.8000000000056,1.1512004
123000,-2662.2000000000053,1.1508004
124000,-2604.2000000000044,1.1504004
125000,-2772.400000000007,1.1500004
126000,-2668.0000000000055,1.1496004
127000,-2766.6000000000067,1.1492004
128000,-2679.600000000003,1.1488004
129000,-2639.000000000003,1.1484004
130000,-2656.4000000000046,1.1480004000000001
131000,-2708.6000000000045,1.1476004
132000,-2743.4000000000055,1.1472004
133000,-2633.200000000004,1.1468004
134000,-2563.600000000005,1.1464004
135000,-2604.2000000000044,1.1460004000000001
136000,-2598.4000000000055,1.1456004
137000,-2755.0000000000045,1.1452004
138000,-2720.2000000000066,1.1448004
139000,-2691.2000000000066,1.1444004
140000,-2569.4000000000033,1.1440004000000001
141000,-2847.8000000000075,1.1436004
142000,-2708.600000000006,1.1432004
143000,-2708.6000000000063,1.1428004
144000,-2633.200000000005,1.1424004
145000,-2726.0000000000055,1.1420004000000001
146000,-2668.000000000005,1.1416004
147000,-2708.600000000004,1.1412004
148000,-2865.200000000007,1.1408003999999998
149000,-2853.600000000006,1.1404003999999999
150000,-2789.800000000006,1.1400004
151000,-2668.0000000000045,1.1396004
152000,-2737.600000000007,1.1392004
153000,-2714.400000000006,1.1388004
154000,-2755.0000000000077,1.1384004
155000,-2731.800000000005,1.1380004000000001
156000,-2633.2000000000025,1.1376004
157000,-2853.6000000000076,1.1372004
158000,-2714.4000000000055,1.1368003999999998
159000,-2813.0000000000086,1.1364003999999999
160000,-2842.0000000000055,1.1360004
161000,-2627.4000000000046,1.1356004
162000,-2766.600000000003,1.1352004
163000,-2784.0000000000055,1.1348004
164000,-2946.400000000006,1.1344004
165000,-2784.000000000004,1.1340004000000001
166000,-2726.000000000005,1.1336004
167000,-2749.2000000000057,1.1332004
168000,-2952.200000000007,1.1328003999999998
169000,-2679.600000000005,1.1324003999999999
170000,-2650.6000000000067,1.1320004
171000,-2708.6000000000063,1.1316004
172000,-2743.4000000000046,1.1312004
173000,-2726.0000000000055,1.1308004
174000,-2737.6000000000067,1.1304003999999999
175000,-2720.2000000000066,1.1300004
176000,-2679.600000000005,1.1296004
177000,-2743.400000000008,1.1292004
178000,-2755.0000000000045,1.1288003999999998
179000,-2836.2000000000057,1.1284003999999999
180000,-2691.200000000005,1.1280004
181000,-2784.0000000000095,1.1276004
182000,-2726.000000000006,1.1272004
183000,-2673.8000000000034,1.1268003999999998
184000,-2702.8000000000065,1.1264003999999999
185000,-2714.400000000006,1.1260004
186000,-2789.800000000008,1.1256004
187000,-2778.2000000000044,1.1252004
188000,-2697.000000000007,1.1248003999999998
189000,-2778.20000000001,1.1244003999999999
190000,-2697.000000000006,1.1240004
191000,-2644.800000000006,1.1236004
192000,-2702.800000000006,1.1232004
193000,-2853.6000000000063,1.1228003999999998
194000,-2917.400000000006,1.1224003999999999
195000,-2882.600000000006,1.1220004
196000,-2818.800000000008,1.1216004
197000,-2702.8000000000065,1.1212004
198000,-2691.200000000004,1.1208003999999998
199000,-2691.200000000005,1.1204003999999999
200000,-2627.4000000000065,1.1200004
201000,-2760.8000000000084,1.1196004
202000,-2772.400000000009,1.1192004
203000,-2818.8000000000093,1.1188003999999998
204000,-2749.2000000000107,1.1184003999999999
205000,-2714.4000000000065,1.1180004000000001
206000,-2702.8000000000047,1.1176004
207000,-2807.2000000000085,1.1172004
208000,-2859.4000000000065,1.1168004
209000,-2911.6000000000085,1.1164003999999998
210000,-2882.6000000000063,1.1160004
211000,-2801.400000000008,1.1156004
212000,-2731.8000000000047,1.1152004
213000,-2888.4000000000087,1.1148004
214000,-2946.4000000000115,1.1144004
215000,-2917.400000000008,1.1140004000000001
216000,-2894.2000000000085,1.1136004
217000,-2784.000000000008,1.1132004
218000,-2842.0000000000095,1.1128004
219000,-2760.800000000006,1.1124003999999998
220000,-2911.600000000008,1.1120003999999999
221000,-2882.6000000000067,1.1116004
222000,-2818.800000000005,1.1112004
223000,-3033.4000000000115,1.1108004
224000,-2969.600000000009,1.1104004
225000,-2905.800000000011,1.1100004
226000,-3068.200000000009,1.1096004
227000,-3033.4000000000137,1.1092004
228000,-2963.800000000012,1.1088004
229000,-2923.2000000000094,1.1084003999999998
230000,-2934.800000000011,1.1080003999999999
231000,-2940.600000000011,1.1076004
232000,-2911.6000000000117,1.1072004
233000,-2772.400000000006,1.1068004
234000,-2847.800000000008,1.1064004
235000,-2865.200000000007,1.1060004
236000,-2818.8000000000065,1.1056004000000001
237000,-2923.20000000001,1.1052004
238000,-2772.400000000005,1.1048004
239000,-2784.000000000007,1.1044004
240000,-2963.8000000000093,1.1040004
241000,-2905.8000000000065,1.1036004000000001
242000,-2859.400000000006,1.1032004
243000,-2871.0000000000073,1.1028004
244000,-2789.8000000000056,1.1024004
245000,-2987.000000000008,1.1020004
246000,-2963.8000000000084,1.1016004000000001
247000,-2946.4000000000046,1.1012004
248000,-2958.000000000007,1.1008004
249000,-2778.2000000000044,1.1004004
250000,-2859.400000000008,1.1000004
251000,-2888.400000000007,1.0996004
252000,-2905.8000000000075,1.0992004
253000,-2900.00000000001,1.0988004
254000,-2882.600000000009,1.0984004
255000,-2894.2000000000103,1.0980004
256000,-2853.600000000004,1.0976004000000001
257000,-3091.400000000011,1.0972004
258000,-2905.8000000000093,1.0968004
259000,-2987.000000000009,1.0964003999999998
260000,-3010.2000000000085,1.0960003999999999
261000,-2992.800000000009,1.0956004
262000,-3050.800000000008,1.0952004
263000,-2836.200000000005,1.0948004
264000,-2952.200000000006,1.0944004
265000,-2969.600000000009,1.0940004
266000,-2963.8000000000106,1.0936004000000001
267000,-2940.6000000000104,1.0932004
268000,-2824.6000000000085,1.0928004
269000,-2981.2000000000116,1.0924003999999998
270000,-2888.4000000000087,1.0920003999999999
271000,-2940.600000000011,1.0916004
272000,-3016.000000000011,1.0912004
273000,-3074.0000000000136,1.0908004
274000,-2969.6000000000095,1.0904004
275000,-3126.2000000000116,1.0900004
276000,-3108.8000000000125,1.0896004000000001
277000,-3091.4000000000115,1.0892004
278000,-3045.000000000007,1.0888004
279000,-3033.4000000000083,1.0884003999999998
280000,-2958.0000000000105,1.0880003999999999
281000,-2929.0000000000095,1.0876004
282000,-3039.20000000001,1.0872004
283000,-3114.6000000000136,1.0868004
284000,-3201.6000000000117,1.0864004
285000,-3149.400000000012,1.0860004
286000,-2963.8000000000084,1.0856004000000001
287000,-3010.200000000009,1.0852004
288000,-3126.2000000000103,1.0848004
289000,-3155.20000000001,1.0844003999999998
290000,-3068.200000000008,1.0840003999999999
291000,-3039.200000000009,1.0836004
292000,-3056.6000000000117,1.0832004
293000,-3230.6000000000117,1.0828004
294000,-3126.2000000000103,1.0824004
295000,-3021.800000000008,1.0820004
296000,-3097.2000000000116,1.0816004
297000,-3172.6000000000076,1.0812004
298000,-3097.20000000001,1.0808004
299000,-3039.20000000001,1.0804004
300000,-3103.0000000000123,1.0800003999999999
301000,-3039.2000000000107,1.0796004
302000,-2946.4000000000096,1.0792004
303000,-3045.000000000011,1.0788004
304000,-3184.2000000000116,1.0784004
305000,-3126.2000000000094,1.0780004
306000,-3050.800000000011,1.0776004
307000,-3126.2000000000107,1.0772004
308000,-3143.6000000000104,1.0768004
309000,-3085.600000000009,1.0764004
310000,-3091.4000000000065,1.0760003999999999
311000,-3079.8000000000106,1.0756004
312000,-3045.0000000000086,1.0752004
313000,-3137.8000000000084,1.0748004
314000,-3149.400000000014,1.0744004
315000,-3114.6000000000095,1.0740004
316000,-3068.2000000000116,1.0736004000000001
317000,-3103.00000000001,1.0732004
318000,-3132.0000000000095,1.0728004
319000,-3311.8000000000097,1.0724004
320000,-3213.200000000014,1.0720004
321000,-3300.2000000000103,1.0716004
322000,-3248.000000000011,1.0712004
323000,-3097.2000000000094,1.0708004
